,county_name,2012_unemp,2016_unemp,2020_unemp,2012_var_state,2016_var_state,2020_var_state,median_income_2012_2016_16_dollars,median_income_2020_16_dollars
79,Franklin,0.046,0.049,0.053,-0.019,0.001,-0.015,42652,46880
80,Freestone,0.063,0.067,0.083,-0.002,0.019,0.015,45134,48621
81,Frio,0.038,0.049,0.057,-0.027,0.001,-0.011,37163,37370
82,Gaines,0.03,0.037,0.056,-0.035,-0.011,-0.012,58788,62195
83,Galveston,0.052,0.053,0.087,-0.013,0.005,0.019,63064,67791
84,Garza,0.033,0.039,0.068,-0.032,-0.009,0.0,52708,45347
85,Gillespie,0.026,0.028,0.048,-0.039,-0.02,-0.02,55850,57540
86,Glasscock,0.026,0.039,0.036,-0.039,-0.009,-0.032,62159,86814
87,Goliad,0.049,0.058,0.077,-0.016,0.01,0.009,54375,52554
88,Gonzales,0.035,0.042,0.054,-0.03,-0.006,-0.014,46630,44838
89,Gray,0.053,0.069,0.081,-0.012,0.021,0.013,45264,48651
90,Grayson,0.035,0.039,0.059,-0.03,-0.009,-0.009,50212,53184
91,Gregg,0.051,0.061,0.083,-0.014,0.013,0.015,47140,49201
92,Grimes,0.053,0.066,0.08,-0.012,0.018,0.012,47839,47825
93,Guadalupe,0.033,0.036,0.061,-0.032,-0.012,-0.007,64599,72964
94,Hale,0.051,0.056,0.068,-0.014,0.008,0.0,44995,45544
95,Hall,0.062,0.067,0.058,-0.003,0.019,-0.01,27244,33278
96,Hamilton,0.039,0.049,0.045,-0.026,0.001,-0.023,45105,48616
97,Hansford,0.025,0.031,0.035,-0.04,-0.017,-0.033,41335,54355
98,Hardeman,0.039,0.039,0.044,-0.026,-0.009,-0.024,35156,37090
99,Hardin,0.061,0.061,0.09,-0.004,0.013,0.022,54352,57978
100,Harris,0.05,0.053,0.089,-0.015,0.005,0.021,55584,57072
101,Harrison,0.052,0.06,0.079,-0.013,0.012,0.011,46230,51084
102,Hartley,0.02,0.02,0.021,-0.045,-0.028,-0.047,64614,67404
103,Haskell,0.047,0.042,0.043,-0.018,-0.006,-0.025,41067,35753
104,Hays,0.031,0.033,0.063,-0.034,-0.015,-0.005,60495,67491
105,Hemphill,0.025,0.037,0.044,-0.04,-0.011,-0.024,67773,66018
106,Henderson,0.042,0.047,0.064,-0.023,-0.001,-0.004,43434,46200
107,Hidalgo,0.074,0.078,0.116,0.009,0.03,0.048,36094,38570
108,Hill,0.039,0.044,0.063,-0.026,-0.004,-0.005,43441,49269
109,Hockley,0.037,0.047,0.079,-0.028,-0.001,0.011,50331,47360
110,Hood,0.042,0.047,0.066,-0.023,-0.001,-0.002,58315,69013
111,Hopkins,0.036,0.04,0.051,-0.029,-0.008,-0.017,45748,46604
112,Houston,0.042,0.046,0.053,-0.023,-0.002,-0.015,32434,40371
113,Howard,0.043,0.055,0.081,-0.022,0.007,0.013,50977,56585
114,Hudspeth,0.06,0.06,0.08,-0.005,0.012,0.012,26635,36397
115,Hunt,0.039,0.043,0.065,-0.026,-0.005,-0.003,45643,53253
116,Hutchinson,0.06,0.056,0.072,-0.005,0.008,0.004,50114,53644
117,Irion,0.03,0.032,0.06,-0.035,-0.016,-0.008,64100,63546
118,Jack,0.037,0.05,0.07,-0.028,0.002,0.002,50390,51257
119,Jackson,0.04,0.047,0.058,-0.025,-0.001,-0.01,56601,51667
120,Jasper,0.074,0.077,0.112,0.009,0.029,0.044,44552,43752
121,Jeff Davis,0.031,0.03,0.051,-0.034,-0.018,-0.017,50174,49409
122,Jefferson,0.073,0.07,0.119,0.008,0.022,0.051,44965,51086
123,Jim Hogg,0.072,0.096,0.095,0.007,0.048,0.027,34769,35915
124,Jim Wells,0.075,0.106,0.13,0.01,0.058,0.062,43321,41152
125,Johnson,0.038,0.044,0.065,-0.027,-0.004,-0.003,59095,61609
126,Jones,0.053,0.058,0.07,-0.012,0.01,0.002,47007,47309
127,Karnes,0.035,0.049,0.063,-0.03,0.001,-0.005,46058,50781
128,Kaufman,0.035,0.038,0.065,-0.03,-0.01,-0.003,60179,69453
129,Kendall,0.031,0.032,0.05,-0.034,-0.016,-0.018,76350,87869
130,Kenedy,0.033,0.046,0.054,-0.032,-0.002,-0.014,24000,42715
131,Kent,0.026,0.03,0.039,-0.039,-0.018,-0.029,50625,48695
132,Kerr,0.034,0.036,0.059,-0.031,-0.012,-0.009,44261,53508
133,Kimble,0.035,0.038,0.051,-0.03,-0.01,-0.017,41263,41442
134,King,0.037,0.039,0.017,-0.028,-0.009,-0.051,57083,65978
135,Kinney,0.055,0.058,0.06,-0.01,0.01,-0.008,34398,43589
136,Kleberg,0.059,0.067,0.084,-0.006,0.019,0.016,41469,43675
137,Knox,0.04,0.042,0.056,-0.025,-0.006,-0.012,42188,37785
