,Year,Reg Voters,Voted,Voted %,Early Vote,EV %,county
182,2020,"1,216",899,73.93%,543,60.40%,throckmorton
183,2012,"2,612","1,495",57.24%,751,28.75%,hardeman
184,2016,"2,536","1,513",59.66%,869,34.27%,hardeman
185,2020,"2,486","1,580",63.56%,"1,014",64.18%,hardeman
186,2012,"9,681","6,216",64.21%,"3,194",32.99%,lee
187,2016,"10,298","6,531",63.42%,"3,852",37.41%,lee
188,2020,"11,145","8,075",72.45%,"6,548",81.09%,lee
189,2012,"3,727","1,787",47.95%,829,22.24%,crosby
190,2016,"3,604","1,726",47.89%,863,23.95%,crosby
191,2020,"3,629","2,130",58.69%,"1,565",73.47%,crosby
192,2012,894,555,62.08%,395,44.18%,terrell
193,2016,700,437,62.43%,317,45.29%,terrell
194,2020,673,458,68.05%,360,78.60%,terrell
195,2012,"2,350","1,363",58.00%,731,31.11%,shackelford
196,2016,"2,328","1,504",64.6%,963,41.37%,shackelford
197,2020,"2,320","1,628",70.17%,"1,250",76.78%,shackelford
198,2012,"79,474","49,249",61.97%,"33,697",42.40%,guadalupe
199,2016,"93,543","57,534",61.51%,"44,772",47.86%,guadalupe
200,2020,"111,142","77,382",69.62%,"68,026",87.91%,guadalupe
201,2012,"6,322","4,163",65.85%,"1,659",26.24%,archer
202,2016,"6,314","4,277",67.74%,"2,284",36.17%,archer
203,2020,"6,538","4,796",73.36%,"3,623",75.54%,archer
204,2012,"178,505","106,423",59.62%,"79,575",44.58%,brazoria
205,2016,"196,507","120,911",61.53%,"98,652",50.2%,brazoria
206,2020,"224,256","15,4037",68.69%,"139,447",90.53%,brazoria
207,2012,"30,867","18,546",60.08%,"11,149",36.12%,rusk
208,2016,"31,331","18,994",60.62%,"13,324",42.53%,rusk
209,2020,"32,388","21,348",65.91%,"16,184",75.81%,rusk
210,2012,"9,718","5,434",55.92%,"2,130",21.92%,falls
211,2016,"10,135","5,242",51.72%,"2,344",23.13%,falls
212,2020," 10,361","6,133",59.19%,"3,683",60.05%,falls
213,2012,"2,863","1,904",66.50%,"1,037",36.22%,hartley
214,2016,"2,975","1,949",65.51%,"1,090",36.64%,hartley
215,2020,"2,909","2,076",71.36%,"1,622",78.13%,hartley
216,2012,"52,296","26,425",50.53%,"14,853",28.40%,potter
217,2016,"54,999","28,383",51.61%,"20,130",36.6%,potter
218,2020,"57,736","33,177",57.46%,"26,841",80.90%,potter
219,2012,734,508,69.21%,253,34.47%,mcmullen
220,2016,709,499,70.38%,309,43.58%,mcmullen
221,2020,706,516,73.09%,366,70.93%,mcmullen
222,2012,"264,980","172,894",65.25%,"121,200",45.74%,montgomery
223,2016,"311,880","204,404",65.54%,"154,646",49.59%,montgomery
224,2020,"370,060","271,175",73.28%,"236,503",87.21%,montgomery
225,2012,"68,161","41,366",60.69%,"31,276",45.89%,gregg
226,2016,"69,403","41,618",59.97%,"33,905",48.85%,gregg
227,2020,"72,867","47,700",65.46%,"42,687",89.49%,gregg
228,2012,"6,392","2,868",44.87%,"1,359",21.26%,reeves
229,2016,"7,103","3,184",44.83%,"2,053",28.9%,reeves
230,2020,"7,558","3,683",48.73%,"2,739",74.37%,reeves
231,2012,"6,622","2,403",36.29%,"1,123",16.96%,brooks
232,2016,"6,428","2,596",40.39%,"1,536",23.9%,brooks
233,2020,"5,521","2,484",44.99%,"1,821",73.31%,brooks
234,2012,"3,874","1,955",50.46%,979,25.27%,lynn
235,2016,"3,893","2,009",51.61%,835,21.45%,lynn
236,2020,"4,028","2,293",56.93%,"1,273",55.52%,lynn
237,2012,821,600,73.08%,306,37.27%,motley
238,2016,857,620,72.35%,363,42.36%,motley
239,2020,859,652,75.90%,443,67.94%,motley
240,2012,"3,322","2,020",60.81%,912,27.45%,delta
241,2016,"3,845","2,281",59.32%,"1,259",32.74%,delta
242,2020,"3,949","2,587",65.51%,"1,829",70.70%,delta
243,2012,"3,434","2,201",64.09%,"1,477",43.01%,mills
244,2016,"3,441","2,242",65.16%,"1,502",43.65%,mills
245,2020,"3,429","2,502",72.97%,"1,949",77.90%,mills
246,2012,"15,883","9,646",60.73%,"6,535",41.14%,aransas
247,2016,"17,263","10,486",60.74%,"8,421",48.78%,aransas
248,2020,"18,306","12,241",66.87%,"10,983",87.72%,aransas
249,2012,"73,644","44,277",60.12%,"31,580",42.88%,midland
250,2016,"79,919","49,079",61.41%,"38,628",48.33%,midland
251,2020,"90,392","58,620",64.85%,"49,815",84.98%,midland
252,2012,"1,056",675,63.92%,265,25.09%,stonewall
253,2016,998,701,70.24%,371,37.17%,stonewall
254,2020,953,736,77.23%,547,74.32%,stonewall
255,2012,"49,298","27,584",55.95%,"15,787",32.02%,henderson
256,2016,"50,692","29,855",58.89%,"21,105",41.63%,henderson
257,2020,"54,663","36,197",66.22%,"29,705",82.06%,henderson
258,2012,"4,163","2,119",50.90%,859,20.63%,castro
259,2016,"3,959","1,996",50.42%,754,19.05%,castro
260,2020,",3853","2,082",54.04%,"1,106",53.12%,castro
261,2012,"5,201","2,993",57.55%,"1,896",36.45%,mcculloch
262,2016,"5,284","3,093",58.54%,"2,140",40.5%,mcculloch
263,2020,"5,361","15,870",296.03%,"11,820",74.48%,mcculloch
264,2012,"24,213","12,705",52.47%,"6,453",26.65%,atascosa
265,2016,"26,488","13,636",51.48%,"8,188",30.91%,atascosa
266,2020,"29,409","18,085",61.49%,"14,759",81.61%,atascosa
267,2012,"50,323","30,510",60.63%,"20,042",39.83%,orange
268,2016,"53,040","31,848",60.05%,"22,751",42.89%,orange
269,2020,"54,442","35,974",66.08%,"30,494",84.77%,orange
270,2012,"4,823","2,908",60.29%,"1,649",34.19%,jack
271,2016,"5,080","3,350",65.94%,"2,325",45.77%,jack
272,2020,"5,254","3,779",71.93%,"2,941",77.82%,jack
273,2012,"2,307","1,510",65.45%,208,   9.02%,knox
274,2016,"2,445","1,367",55.91%,381,15.58%,knox
275,2020,"2,391","1,456",60.90%,772,53.02%,knox
276,2012,"21,985","12,034",54.74%,"5,297",24.09%,hill
277,2016,"22,825","12,915",56.58%,"6,651",29.14%,hill
278,2020,"23,625","14,843",62.83%,"9,632",64.89%,hill
279,2012,"27,902","17,190",61.61%,"10,322",36.99%,wilson
280,2016,"31,245","19,424",62.17%,"10,512",33.64%,wilson
281,2020,"35,036","25,006",71.37%,"20,881",83.50%,wilson
282,2012,"110,867","49,101",44.29%,"29,658",26.75%,webb
283,2016,"123,291","56,867",46.12%,"19,522",15.83%,webb
284,2020,"137,840","68,397",49.62%,"53,357",78.01%,webb
285,2012,"11,546","7,278",63.03%,"4,716",40.85%,robertson
286,2016,"11,505","7,023",61.04%,"4,576",39.77%,robertson
287,2020,"11,844","8,080",68.22%,"6,537",80.90%,robertson
288,2012,"13,073","7,623",58.31%,"3,916",29.95%,tyler
289,2016,"13,559","8,037",59.27%,"4,405",32.49%,tyler
290,2020,"14,556","9,547",65.59%,"6,706",70.24%,tyler
291,2012,"19,914","8,765",44.01%,"5,172",25.97%,hale
292,2016,"19,473","8,826",45.32%,"6,082",31.23%,hale
293,2020,"18,997","9,560",50.32%,"7,496",78.41%,hale
294,2012,"14,387","9,268",64.42%,"4,330",30.10%,shelby
295,2016,"15,179","9,077",59.8%,"4,755",31.33%,shelby
296,2020,"15,570","10,063",64.63%,"6,975",69.31%,shelby
297,2012,"37,397","19,059",50.96%,"13,604",36.38%,polk
298,2016,"38,530","34,480",89.49%,"14,766",38.32%,polk
299,2020,"40,520","24,072",59.41%,"20,352",84.55%,polk
300,2012,"1,378",865,62.77%,326,23.66%,oldham
301,2016,"1,413",948,67.09%,404,28.59%,oldham
302,2020,"1,425","1,009",70.81%,623,61.74%,oldham
303,2012,"1,565",883,56.42%,501,32.01%,edwards
304,2016,"1,514","1,067",70.48%,764,50.46%,edwards
305,2020,"1,499","1,064",70.98%,773,72.65%,edwards
306,2012,"103,491","58,831",56.85%,"39,971",38.62%,hays
307,2016,"121,326","71,945",59.3%,"55,237",45.53%,hays
308,2020,"152,840","108,822",71.20%,"98,242",90.28%,hays
309,2012,"24,684","14,087",57.07%,"8,834",35.79%,wharton
310,2016,"25,206","14,730",58.44%,"10,759",42.68%,wharton
311,2020,"25,697","16,709",65.02%,"14,497",86.76%,wharton
312,2012,"13,807","7,918",57.35%,"4,834",35.01%,hutchinson
313,2016,"13,620","8,137",59.74%,"5,458",40.07%,hutchinson
314,2020,"13,533","8,741",64.59%,"7,006",80.15%,hutchinson
315,2012,"4,583","2,312",50.45%,"1,313",28.65%,mitchell
316,2016,"4,495","2,194",48.81%,"1,281",28.5%,mitchell
317,2020,"4,524","2,578",56.98%,"1,894",73.47%,mitchell
318,2012,"5,514","3,458",62.71%,"2,041",37.01%,goliad
319,2016,"5,580","3,713",66.54%,"2,455",44%,goliad
320,2020,"5,766","3,978",68.99%,"2,901",72.93%,goliad
321,2012,"8,505","4,309",50.66%,448,   5.27%,deafsmith
322,2016,"8,669","4,216",48.63%,"2,851",32.89%,deafsmith
323,2020,"8,900","4,608",51.78%,"3,634",78.86%,deafsmith
324,2012,"3,803","2,259",59.40%,"1,176",30.92%,sansaba
325,2016,"3,776","2,357",62.42%,"1,348",35.7%,sansaba
326,2020,"3,776","2,602",68.91%,"1,870",71.87%,sansaba
327,2012,"20,791","11,061",53.20%,"6,418",30.87%,caldwell
328,2016,"22,560","11,764",52.15%,"8,260",36.61%,caldwell
329,2020,"25,945","14,775",56.95%,"12,320",83.38%,caldwell
330,2012,"7,260","3,709",51.09%,"2,294",31.60%,terry
331,2016,"6,998","3,348",47.84%,"2,295",32.8%,terry
332,2020,6589,3608,54.76%,2879,79.79%,terry
333,2012,"15,888","10,221",64.33%,"5,539",34.86%,panola
334,2016,"16,348","10,416",63.71%,"6,393",39.11%,panola
335,2020,"16,808","11,452",68.13%,"8,092",70.66%,panola
336,2012,"12,815","7,142",55.73%,"3,881",30.28%,lampasas
337,2016,"13,786","8,176",59.31%,"5,806",42.12%,lampasas
338,2020,"15,424","10,373",67.25%,"8,639",83.28%,lampasas
339,2012,"6,963","2,917",41.89%,"1,263",18.14%,dimmit
340,2016,"7,440","3,225",43.35%,"1,663",22.35%,dimmit
341,2020,"7,341","3,666",49.94%,"2,455",66.97%,dimmit
342,2012,"1,307",788,60.29%,388,29.69%,irion
343,2016,"1,338",766,57.25%,502,37.52%,irion
344,2020,"1,298",889,68.49%,670,75.37%,irion
345,2012,"2,200","1,298",59.00%,861,39.14%,upton
346,2016,"2,245","1,298",57.82%,892,39.73%,upton
347,2020,"2,207","1,365",61.85%,"1,063",77.88%,upton
348,2012,"918,552","511,411",55.68%,"234,619",25.54%,bexar
349,2016,"1,045,357","586,051",56.06%,"466,386",44.61%,bexar
350,2020,"1,189,373","756,039",63.57%,"672,591",88.96%,bexar
351,2012,"34,955","22,450",64.23%,"14,434",41.29%,hood
352,2016,"38,284","26,222",68.49%,"19,714",51.49%,hood
353,2020,"44,831","32,241",71.92%,"25,617",79.45%,hood
354,2012,"6,637","4,025",60.64%,"2,555",38.50%,madison
355,2016,"7,193","4,284",59.56%,"2,842",39.51%,madison
356,2020,"7,822","5,289",67.62%,"4,377",82.76%,madison
357,2012,776,578,74.48%,300,38.66%,glasscock
358,2016,769,604,78.54%,325,42.26%,glasscock
359,2020,800,653,81.63%,487,74.58%,glasscock
360,2012,"28,901","17,177",59.43%,"9,277",32.10%,lamar
361,2016,"31,011","18,590",59.95%,"12,084",38.97%,lamar
362,2020,"32,390","21,338",65.88%,"16,690",78.22%,lamar
363,2012,"31,129","20,613",66.22%,"12,717",40.85%,nacogdoches
364,2016,"34,769","22,573",64.92%,"15,349",44.15%,nacogdoches
365,2020,"38,786","26,755",68.98%,"22,394",83.70%,nacogdoches
366,2012,"4,483","2,547",56.81%,926,20.66%,parmer
367,2016,"4,463","2,825",63.3%,"1,000",22.41%,parmer
368,2020,"4,537","2,648",58.36%,"1,316",49.70%,parmer
369,2012,"32,854","21,816",66.40%,"16,227",49.39%,kerr
370,2016,"34,644","23,206",66.98%,"18,131",52.34%,kerr
371,2020,"37,726","27,710",73.45%,"24,035",86.74%,kerr
372,2012,"75,696","43,185",57.05%,"29,405",38.85%,taylor
373,2016,"78,621","45,636",58.05%,"32,992",41.96%,taylor
374,2020,"83,696","54,924",65.62%,"45,426",82.71%,taylor
375,2012,"7,194","4,332",60.22%,"2,603",36.18%,camp
376,2016,"7,582","4,542",59.91%,"3,247",42.83%,camp
377,2020,"7,904","5,057",63.98%,"4,296",84.95%,camp
378,2012,"1,371","1,019",74.33%,513,37.42%,dickens
379,2016,"1,330",909,68.35%,450,33.83%,dickens
380,2020,"1,328",985,74.17%,676,68.63%,dickens
381,2012,"35,423","21,293",60.11%,"11,508",32.49%,hardin
382,2016,"38,154","22,768",59.67%,"14,566",38.18%,hardin
383,2020,"39,952","27,555",68.97%,"22,767",82.62%,hardin
384,2012,"974,880","610,321",62.60%,"415,490",42.62%,tarrant
385,2016,"1,077,598","667,837",61.97%,"507,986",47.14%,tarrant
386,2020,"1,212,524","820,157",67.64%,"719,655",87.75%,tarrant
387,2012,"27,315","15,960",58.43%,"10,941",40.05%,medina
388,2016,"30,318","17,203",56.74%,"12,664",41.77%,medina
389,2020,"33,763","22,568",66.84%,"19,935",88.33%,medina
390,2012,"12,511","6,749",53.94%,"3,441",27.50%,calhoun
391,2016,"12,863","6,965",54.15%,"4,251",33.05%,calhoun
392,2020,"13,080","7,853",60.04%,"5,695",72.52%,calhoun
393,2012,"59,604","34,604",58.06%,"22,013",36.93%,kaufman
394,2016,"67,544","41,198",60.99%,"30,065",44.51%,kaufman
395,2020,"81,901","56,435",68.91%,"48,422",85.80%,kaufman
396,2012,"386,742","240,125",62.09%,"167,692",43.36%,denton
397,2016,"464,790","296,968",63.89%,"224,084",48.21%,denton
398,2020,"3,949","2,587",65.51%,"1,829",70.70%,denton
399,2012,"2,947","1,891",64.17%,"1,182",40.11%,kimble
400,2016,"2,916","1,952",66.94%,"1,287",44.14%,kimble
401,2020,"3,113","2,292",73.63%,"1,806",78.80%,kimble
402,2012,"8,566","3,653",42.65%,"2,180",25.45%,zavala
403,2016,"8,615","3,390",39.35%,"1,717",19.93%,zavala
404,2020,"8,066","4,379",54.29%,"2,968",67.78%,zavala
405,2012,"27,910","10,562",37.84%,"5,731",20.53%,maverick
406,2016,"30,689","13,588",44.28%,"8,926",29.09%,maverick
407,2020,"33,050","15,338",46.41%,"11,383",74.21%,maverick
408,2012,"7,790","5,074",65.13%,"3,219",41.32%,redriver
409,2016,"8,243","5,158",62.57%,"2,835",34.39%,redriver
410,2020,"8,489","5,800",68.32%,4263,73.50%,redriver
411,2012,"458,872","301,101",65.62%,"222,034",48.39%,collin
412,2016,"537,358","356,688",66.38%,"297,977",55.45%,collin
413,2020,"648,670","48,5323",74.82%,"449,039",92.52%,collin
414,2012,"13,484","7,126",52.85%,"4,168",30.91%,hockley
415,2016,"13,723","7,292",53.14%,"4,838",35.25%,hockley
416,2020,"13,781","8,091",58.71%,"6,315",78.05%,hockley
417,2012,"2,426","1,535",63.27%,928,38.25%,real
418,2016,"2,522","1,681",66.65%,"1,157",45.88%,real
419,2020,"2,702","1,982",73.35%,"1,638",82.64%,real
420,2012,"10,926","6,456",59.09%,"3,377",30.91%,burleson
421,2016,"11,637","6,960",59.81%,"4,352",37.4%,burleson
422,2020,"12,440","8,604",69.16%,"6,680",77.64%,burleson
423,2012,"3,654","2,009",54.98%,732,20.03%,haskell
424,2016,"3,394","1,770",52.15%,762,22.45%,haskell
425,2020,"3,377","2,211",65.47%,"1,374",62.14%,haskell
426,2012,"26,636","16,779",62.99%,"10,685",40.11%,burnet
427,2016,"29,587","19,146",64.71%,"13,784",46.59%,burnet
428,2020,"33,697","24,646",73.14%,"20,840",84.56%,burnet
429,2012,"1,759",876,49.80%,413,23.48%,culberson
430,2016,"1,762",766,43.47%,396,22.47%,culberson
431,2020,"1,709",864,50.56%,558,64.58%,culberson
432,2012,"11,397","7,562",66.35%,"4,425",38.83%,freestone
433,2016,"11,987","7,608",63.47%,"4,775",39.83%,freestone
