,Year,Reg Voters,Voted,Voted %,Early Vote,EV %,county
686,2016,"1,901","1,156",60.81%,621,32.67%,collingsworth
687,2020,",1942","1,218",62.72%,845,69.38%,collingsworth
688,2012,"3,077","1,960",63.70%,866,28.14%,hansford
689,2016,"3,065","1,947",63.52%,993,32.4%,hansford
690,2020,"3,009","2,046",68.00%,"1,363",66.62%,hansford
691,2012,"1,814",916,50.50%,366,20.18%,cochran
692,2016,"1,777",901,50.7%,424,23.86%,cochran
693,2020,"1,771",996,56.24%,676,67.87%,cochran
694,2012,"15,821","8,790",55.56%,"4,579",28.94%,titus
695,2016,"16,605","9,250",55.71%,"5,997",36.12%,titus
696,2020,"17,666","10,530",59.61%,"8,230",78.16%,titus
697,2012,"39,929","24,458",61.25%,"15,632",39.15%,bastrop
698,2016,"45,137","28,424",62.97%,"21,188",46.94%,bastrop
699,2020,"52,096","36,612",70.28%,"31,298",85.49%,bastrop
700,2012,"8,869","5,195",58.57%,"2,536",28.59%,callahan
701,2016,"9,192","5,571",60.61%,"4,311",46.9%,callahan
702,2020,"9,773","6,826",69.85%,"5,495",80.50%,callahan
703,2012,"11,733","6,258",53.34%,"3,713",31.65%,trinity
704,2016,"11,580","5,985",51.68%,"3,627",31.32%,trinity
705,2020,"11,541","6,938",60.12%,"5,334",76.88%,trinity
706,2012,"7,435","3,529",47.46%,"1,894",25.47%,zapata
707,2016,"7,645","3,134",40.99%,"1,454",19.02%,zapata
708,2020,"8,257","3,867",46.83%,"2,438",63.05%,zapata
709,2012,"17,255","9,335",54.10%,"4,383",25.40%,palopinto
710,2016,"17,495","10,195",58.27%,"5,711",32.64%,palopinto
711,2020,"18,946","12,478",65.86%,9607,76.99%,palopinto
712,2012,"6,156","3,690",59.94%,"1,882",30.57%,sanaugustine
713,2016,"6,181","3,564",57.66%,"1,985",32.11%,sanaugustine
714,2020,"6,108","3,998",65.46%,"2,931",73.31%,sanaugustine
715,2016,"5,942","3,642",61.29%,"2,602",43.79%,coleman
716,2020,"5,960","4,120",69.13%,"3,545",86.04%,coleman
717,2012,"124,337","84,794",68.20%,"54,530",43.86%,smith
718,2016,"135,216","83,871",62.03%,"63,335",46.84%,smith
719,2020,"1,520",990,65.13%,684,69.09%,smith
720,2012,"1,668",861,51.62%,215,12.89%,hudspeth
721,2016,"1,840",871,47.34%,266,14.46%,hudspeth
722,2020,"2,085","1,157",55.49%,591,51.08%,hudspeth
723,2012,"14,830","9,440",63.65%,"6,067",40.91%,bandera
724,2016,"15,524","10,214",65.79%,"8,029",51.72%,bandera
725,2020,"17,098","12,703",74.30%,"11,074",87.18%,bandera
726,2012,"13,112","8,283",63.17%,"3,571",27.23%,lavaca
727,2016,"13,253","8,653",65.29%,"4,450",33.58%,lavaca
728,2020,"13,661","10,195",74.63%,"7,338",71.98%,lavaca
729,2012,"49,317","28,460",57.71%,"17,548",35.58%,angelina
730,2016,"51,610","29,896",57.93%,"20,428",39.58%,angelina
731,2020,"53,166",34628,65.13%,"28,676",82.81%,angelina
732,2012,"22,519","14,386",63.88%,"9,248",41.07%,washington
733,2016,"22,951","14,824",64.59%,"10,451",45.54%,washington
734,2020,"23,947","17,410",72.70%,"14,507",83.33%,washington
735,2012,"7,793","5,057",64.89%,"1,822",23.38%,clay
736,2016,"7,656","5,013",65.48%,"2,091",27.31%,clay
737,2020,"7,959","5,736",72.07%,"4,166",72.63%,clay
