county,Probability County=Democrat
anderson county,0.020134114030573143
andrews county,0.07071235589391639
angelina county,0.04697870663441617
aransas county,0.013500244824150132
archer county,0.002215329919019634
armstrong county,0.0007858253166834626
atascosa county,0.19005376186324663
austin county,0.02113341776627512
bailey county,0.14585136853050745
bandera county,0.0023702874135116242
bastrop county,0.03191758922206852
baylor county,0.002731179818697367
bee county,0.2600069548602392
bell county,0.152514389980043
bexar county,0.7916154410529949
blanco county,0.0020728642119907928
borden county,0.0010809759215646745
bosque county,0.0036956481401044794
bowie county,0.02882510868925097
brazoria county,0.1518033110152855
brazos county,0.20048985936335298
brewster county,0.0340528466002042
briscoe county,0.007657369232896563
brooks county,0.9446635293327289
brown county,0.009966090205808418
burleson county,0.01407241417760369
burnet county,0.004440076246110443
caldwell county,0.10349551329854352
calhoun county,0.09625135179748827
callahan county,0.006110405416214443
cameron county,0.8378665514859923
camp county,0.05925222809676668
carson county,0.00221983177951491
cass county,0.0156561128081971
castro county,0.1080907143938109
chambers county,0.02523554233408607
cherokee county,0.03210133796705703
childress county,0.016885486815539582
clay county,0.0022180811033082892
cochran county,0.1223313192285067
coke county,0.0035762547717478285
coleman county,0.007207817968395811
collin county,0.1117451384765088
collingsworth county,0.01908307051601728
colorado county,0.024166963223368323
comal county,0.006508624590809286
comanche county,0.008542226843941843
concho county,0.028366219885132597
cooke county,0.006189533929762311
coryell county,0.11040199523325742
cottle county,0.012061979912528973
crane county,0.2431981739730705
crockett county,0.282685842334556
crosby county,0.12693186110442584
culberson county,0.4185325906210971
dallam county,0.035002707835260986
dallas county,0.8762910214189581
dawson county,0.14789974508908574
deaf smith county,0.17575655529370973
delta county,0.003808237832537825
denton county,0.07044909415123166
dewitt county,0.040588866903788254
dickens county,0.01098992141550908
dimmit county,0.7629460258063285
donley county,0.0037285900721071553
duval county,0.9077255209603798
eastland county,0.012428817866911126
ector county,0.33692876602363964
edwards county,0.0494427524238448
ellis county,0.5356949508012412
el paso county,0.3253136357811653
erath county,0.02732098435193743
falls county,0.05066644380547615
fannin county,0.004365064590956604
fayette county,0.004697800248256811
fisher county,0.011030684518780233
floyd county,0.17148836003602821
foard county,0.0025672696894828927
fort bend county,0.4282934282808355
franklin county,0.006064326264792917
freestone county,0.022912139400839096
frio county,0.49570823153472204
gaines county,0.07843524270193583
galveston county,0.0993425924214323
garza county,0.04525126232611912
gillespie county,0.001859477748250398
glasscock county,0.010335267790404733
goliad county,0.029849395728717254
gonzales county,0.07917206411009894
gray county,0.031544768399576324
grayson county,0.01414738011654551
gregg county,0.06841635122571142
grimes county,0.03640593059388059
guadalupe county,0.042091077764484265
hale county,0.1980309398298323
hall county,0.047965092293429455
hamilton county,0.0023921893377716504
hansford county,0.03598956690731801
hardeman county,0.010730248910247002
hardin county,0.007769315672934293
harris county,0.9898391093146863
harrison county,0.04093788495161681
hartley county,0.004642088294989523
haskell county,0.009879482241228938
hays county,0.055018736954915354
hemphill county,0.009280647082751703
henderson county,0.00693807822355389
hidalgo county,0.9104050861307788
hill county,0.00932758399950309
hockley county,0.06922070723346455
hood county,0.0035758742474353584
hopkins county,0.018116331311932868
houston county,0.01837997893739608
howard county,0.04939813958253492
hudspeth county,0.5474617816575001
hunt county,0.015809508033836073
hutchinson county,0.014769381437505072
irion county,0.004742584572687352
jack county,0.006024673361403149
jackson county,0.02414319899835419
jasper county,0.022326397639847385
jeff davis county,0.00819386950062771
jefferson county,0.37139762952990696
jim hogg county,0.9019798841560516
jim wells county,0.8035103127833415
johnson county,0.01406192634463896
jones county,0.02325992903713846
karnes county,0.08602508998525005
kaufman county,0.019463164064761153
kendall county,0.003017627986055098
kenedy county,0.49687076300408095
kent county,0.0016137800387685242
kerr county,0.004982305563556451
kimble county,0.0038467717502513325
king county,0.002262255423710264
kinney county,0.10657116816073034
kleberg county,0.5733340130210256
knox county,0.022220639767216076
lamar county,1.3195698606171255e-06
lamb county,0.153853019835372
lampasas county,0.0001069511423261227
la salle county,0.29929016776623674
lavaca county,0.005688323071344796
lee county,0.021503535277150113
leon county,0.007868008042176747
liberty county,0.04801340622143021
limestone county,0.031804076639213974
lipscomb county,0.013178471100364826
live oak county,0.030428669202364648
llano county,0.0007706022692087808
loving county,0.0023540829188288767
lubbock county,0.12796814631745268
lynn county,0.05885664699416667
mcculloch county,0.00043003691300711513
mclennan county,2.028198018680341e-07
mcmullen county,0.469070697414413
madison county,0.00737058354126292
marion county,0.5498924811385388
martin county,2.84672806792206e-07
mason county,0.1495210344019601
matagorda county,0.00025455193306880597
