county,Probability County=Democrat
anderson county,0.01348222705826396
andrews county,0.03139624245246115
angelina county,0.02834865656084397
aransas county,0.008994570042231783
archer county,0.0013256821468654904
armstrong county,0.0007314893500752314
atascosa county,0.11738403023252839
austin county,0.010721000275876982
bailey county,0.09268415622751847
bandera county,0.0017954802308609715
bastrop county,0.019314729869402417
baylor county,0.0018415784138923242
bee county,0.17520641821818342
bell county,0.10092090855501627
bexar county,0.6472959898127872
blanco county,0.0017457251452838213
borden county,0.0011020997251694799
bosque county,0.002730520521314228
bowie county,0.01993574531504876
brazoria county,0.06171302843686316
brazos county,0.08628285412711864
brewster county,0.026243154192885285
briscoe county,0.0057752725395929195
brooks county,0.8432685427755253
brown county,0.006618055307292919
burleson county,0.008650661845126535
burnet county,0.0031359347800914146
caldwell county,0.06577475011366371
calhoun county,0.06680160415539936
callahan county,0.0022756647144246745
cameron county,0.7731681169385879
camp county,0.03370037451387704
carson county,0.0015782001996589776
cass county,0.009882307552316326
castro county,0.08261152529738139
chambers county,0.019187906513275753
cherokee county,0.02029961506964385
childress county,0.012857127932986915
clay county,0.001423424834429068
cochran county,0.08280416939437205
coke county,0.0023469561711124036
coleman county,0.0034783443315240426
collin county,0.03999017374174791
collingsworth county,0.012676745909807472
colorado county,0.013138478549141618
comal county,0.005314047077014142
comanche county,0.0050442139547823795
concho county,0.027422744602116283
cooke county,0.004164375444673899
coryell county,0.048145018333396065
cottle county,0.007867911827388092
crane county,0.09393277761686326
crockett county,0.11247300326572814
crosby county,0.0686046903239377
culberson county,0.32678396894911554
dallam county,0.024893617759124964
dallas county,0.7555945990353715
dawson county,0.10253370732438948
deaf smith county,0.12029646799686317
delta county,0.0027174150388923754
denton county,0.03913013861056477
dewitt county,0.018453853993103227
dickens county,0.008455067775401897
dimmit county,0.6067874543263578
donley county,0.002616931157597901
duval county,0.770117230231529
eastland county,0.0043104579264194995
ector county,0.09470744049728363
edwards county,0.025123575067983114
ellis county,0.5294584244719948
el paso county,0.10967308620739942
erath county,0.016802217576685277
falls county,0.03811551767326839
fannin county,0.003171399222679926
fayette county,0.003032224040963006
fisher county,0.0059138396960222795
floyd county,0.07582527890537874
foard county,0.0020917131905612203
fort bend county,0.19272871095274646
franklin county,0.004296510218056396
freestone county,0.016488177447365655
frio county,0.36845495605770395
gaines county,0.05043480024133617
galveston county,0.06817514121881257
garza county,0.028706855094196626
gillespie county,0.0012815172385797283
glasscock county,0.00598901838029527
