county,Probability County=Democrat
anderson county,0.025630820111440633
andrews county,0.2576756965104715
angelina county,0.062296484787964845
aransas county,0.033677710091013766
archer county,0.005024505560420844
armstrong county,0.0012846668737477795
atascosa county,0.45417149575555016
austin county,0.022521343190600247
bailey county,0.18545992748670073
bandera county,0.004040961889964459
bastrop county,0.04545627725463957
baylor county,0.0034903202158172593
bee county,0.5405238529213904
bell county,0.3666824386588726
bexar county,0.9448144985044541
blanco county,0.0022837665083689602
borden county,0.0012878150260927598
bosque county,0.00486718191767782
bowie county,0.042162790241873103
brazoria county,0.2827394935294745
brazos county,0.20676460892215145
brewster county,0.07319601182794205
briscoe county,0.008975362722670322
brooks county,0.8926944078922108
brown county,0.014198525031657461
burleson county,0.021664921217078446
burnet county,0.006227618770034769
caldwell county,0.1430761727853545
calhoun county,0.093480427618667
callahan county,0.005594954536419544
cameron county,0.9048883237396715
camp county,0.06421549297660015
carson county,0.0034798421252365047
cass county,0.015040023436541842
castro county,0.12498312636601264
chambers county,0.05017192628356383
cherokee county,0.051753561200409304
childress county,0.020849872381003828
clay county,0.001958941061678474
cochran county,0.27180154483763497
coke county,0.006712647864716666
coleman county,0.01546961730015222
collin county,0.21417245369498925
collingsworth county,0.026166753165894046
colorado county,0.03139946896110131
comal county,0.026025538802079758
comanche county,0.008854326539120078
concho county,0.0378779951349886
cooke county,0.012221403906356888
coryell county,0.17025745621991864
cottle county,0.015199368211674204
crane county,0.6062725450248353
crockett county,0.31526454059068826
crosby county,0.14204958857334238
culberson county,0.4545431571640994
dallam county,0.046968314895714965
dallas county,0.965962637876354
dawson county,0.32644774035679697
deaf smith county,0.34310120121024634
delta county,0.004533757975840712
denton county,0.07047624023792
dewitt county,0.062024289126811516
dickens county,0.017397117046893854
dimmit county,0.6533468170901325
donley county,0.004389001100899158
duval county,0.9045868679149225
eastland county,0.01487739955697045
ector county,0.6718997818200404
edwards county,0.04841563316056979
ellis county,0.7723981521948714
el paso county,0.35078551617682074
erath county,0.03142919235952048
falls county,0.0700958298722191
fannin county,0.004556298404575115
fayette county,0.007277801388314832
fisher county,0.011739011105645573
floyd county,0.24384583240689542
foard county,0.004463206481955208
fort bend county,0.5769311569863291
franklin county,0.007235738325692884
freestone county,0.030396764824280796
frio county,0.5070264264320673
gaines county,0.12228572721096788
galveston county,0.17881510430346803
garza county,0.11859651776093513
gillespie county,0.004237359800485724
glasscock county,0.0059297005777144175
goliad county,0.04473365210803542
gonzales county,0.10651384184069441
gray county,0.05015629238273502
grayson county,0.019939866989889934
gregg county,0.14667232876308473
grimes county,0.07622750392752475
guadalupe county,0.12095878301637275
hale county,0.25299006311578376
hall county,0.036951938549957423
hamilton county,0.0032965438724414523
hansford county,0.035031693529869005
hardeman county,0.01743056456025954
hardin county,0.011744549576470389
harris county,0.9982786579949697
harrison county,0.052168758580536156
hartley county,0.0046772897978599685
haskell county,0.017407048235046057
hays county,0.1258221098519472
hemphill county,0.0204128543384372
henderson county,0.014016177445669215
hidalgo county,0.9771303799456907
hill county,0.01489334742132166
hockley county,0.1648711875856278
hood county,0.0058825093952654395
hopkins county,0.017454382900572003
houston county,0.018176462632979052
howard county,0.17484497609669095
hudspeth county,0.5597771956429329
hunt county,0.01851343702075043
hutchinson county,0.026291270241318207
irion county,0.010112452318362046
jack county,0.018158788065965915
jackson county,0.04076773901718539
jasper county,0.04708166616304
jeff davis county,0.01665348970082245
jefferson county,0.6183626445053965
jim hogg county,0.8523731292348462
jim wells county,0.8678030691372384
johnson county,0.021182931469416473
jones county,0.055377030314273296
karnes county,0.13832329529610318
kaufman county,0.048113784549794966
kendall county,0.0101400721355827
kenedy county,0.48064062390916473
kent county,0.0025589090221607618
kerr county,0.010356489315037205
kimble county,0.0069834413222962174
king county,0.0010837655112810737
kinney county,0.126289892564222
kleberg county,0.6508613649600021
knox county,0.036582322014166176
lamar county,1.3557716582905885e-06
lamb county,0.08917004511648569
lampasas county,0.0003498072372226216
la salle county,0.3267412710891498
lavaca county,0.011749188484018562
lee county,0.03054191972922881
leon county,0.013587718002164573
liberty county,0.08894118746152699
limestone county,0.04270839693353894
lipscomb county,0.01098914593465104
live oak county,0.054081543565821
llano county,0.0015796390123964162
loving county,0.0011156138242046961
lubbock county,0.18853115409558757
lynn county,0.09323297437288978
mcculloch county,0.000550396855799541
mclennan county,5.690808746554439e-07
mcmullen county,0.5171950317738788
madison county,0.021258359172902842
marion county,0.6411126325550293
martin county,2.55998541163247e-07
mason county,0.2209970639138181
matagorda county,0.0010738873876092962
maverick county,0.9901821632656203
medina county,0.15993668135473998
menard county,0.024481229384672155
midland county,0.28653082785814327
milam county,0.05391123718350937
mills county,0.003895249060223045
mitchell county,0.10160271581944541
montague county,0.007573334821093639
montgomery county,0.056818489959982156
moore county,0.1572951646073017
morris county,0.07750539095338557
motley county,0.0028127437722308695
nacogdoches county,0.06170597798746485
navarro county,0.06617651735440705
newton county,0.04436920768139228
nolan county,0.0491896678599671
nueces county,0.6962763792987091
ochiltree county,0.09360313393374986
oldham county,0.004616912347955242
orange county,0.025540779727373532
palo pinto county,0.023497960504740945
panola county,0.026001363317684358
parker county,0.009096235909199852
parmer county,0.09552151801631725
pecos county,0.36181971590127465
polk county,0.020276115202860864
potter county,0.17942701451107954
presidio county,0.9248525044051228
rains county,0.0018851851308676728
randall county,0.022286549352263842
reagan county,0.35614963885012885
real county,0.013248550979653138
red river county,0.013876838841970414
reeves county,0.4812939830837982
refugio county,0.21784567797246374
roberts county,0.0018516901993139258
robertson county,0.04460751135371634
rockwall county,0.011031322180993184
runnels county,0.022191398534245527
