,county_name,2012,2016,2020,2012_var_state,2016_var_state,2020_var_state,median_income_2012_2016_16_dollars,median_income_2020_16_dollars,Total12,Total Male12,Total Female12,Anglo Total12,Anglo Male12,Anglo Female12,Black Total12,Black Male12,Black Female12,Other Total12,Other Male12,Other Female12,Hispanic Total12,Hispanic Male12,Hispanic Female12,Total16,Total Male16,Total Female16,Anglo Total16,Anglo Male16,Anglo Female16,Black Total16,Black Male16,Black Female16,Other Total16,Other Male16,Other Female16,Hispanic Total16,Hispanic Male16,Hispanic Female16,Total19,Total_Male19,Total_Female19,NH_White_Total19,NH_White_Male19,NH_White_Female19,NH_Black_Total19,NH_Black_Male19,NH_Black_Female19,NH_Asian_Total19,NH_Asian_Male19,NH_Asian_Female19,NH_Other_Total19,NH_Other_Male19,NH_Other_Female19,Hispanic_Total19,Hispanic_Male19,Hispanic_Female19
0,Anderson,0.036000000000000004,0.043,0.055999999999999994,-0.028999999999999998,-0.0050000000000000044,-0.01200000000000001,42146,44871,58964,0.10281431254016707,0.06678069458282324,0.1029610011190164,0.05663329642242179,0.04632770469659462,0.035320308789605875,0.025615852612396572,0.009704456177209303,0.0034716296994343884,0.0016912330267335714,0.0017803966727008176,0.02784206751493362,0.018873930478615127,0.008968137036318496,58305,60.778663922476625,39.22133607752337,58.61418403224423,32.462052997170055,26.152131035074177,20.934739730726353,15.14449875653889,5.790240974187463,2.8110796672669585,1.3841008489837923,1.4269788182831662,17.639996569762456,11.788011319783894,5.851985249978561,59025,61.783989834815756,38.216010165184244,57.828038966539594,32.61499364675985,25.213045319779752,21.168996188055907,15.693350275307072,5.475645912748836,0.5336721728081322,0.25412960609911056,0.2795425667090216,2.3278271918678524,1.1368064379500211,1.1910207539178315,18.141465480728506,12.084709868699703,6.056755612028801
1,Andrews,0.031,0.047,0.08199999999999999,-0.034,-0.0010000000000000009,0.013999999999999985,70121,69369,16039,0.023030106879346438,0.023102013045449055,0.021606364790514605,0.010547196443931981,0.011059168346582623,0.0006270217684148275,0.00032213962413972784,0.0003048821442750996,0.0009290276660458222,0.0004544469697685447,0.0004745806962772777,0.02296970569982024,0.01170632384150618,0.011263381858314056,17829,15.341737415316011,15.237115170225538,13.317897264385559,6.5071606208729955,6.810736643512564,0.4013377926421404,0.20752937140897007,0.19380842123317038,0.6054369265071606,0.29157019123574307,0.31386673527141756,16.25418060200669,8.335477231798302,7.918703370208386,19279,16.743752647183396,15.918678526048286,11.464633629817873,5.782295637441762,5.6823379923761115,0.3761118170266836,0.18466751376535367,0.19144430326132994,0.14400677678949597,0.07623888182973317,0.0677678949597628,0.386277001270648,0.19144430326132994,0.1948326980093181,20.291401948326982,10.509106310885217,9.782295637441763
2,Angelina,0.051,0.059000000000000004,0.076,-0.014000000000000005,0.011000000000000003,0.007999999999999993,44185,47917,88850,0.12550502231550917,0.13004949201319457,0.15920312799783998,0.07754360952506306,0.08165951847277692,0.03793194074245295,0.017944902812569306,0.019987037929883652,0.005812894467735625,0.0027036718454584298,0.0031092226222771946,0.0526065511206752,0.027312838132418357,0.025293712988256847,90652,76.96938512992024,78.50956178715376,92.79821627647713,45.59814767172627,47.200068604750875,23.099219620958753,11.050510247834662,12.048709373124089,4.366692393448246,2.066718120229826,2.29997427321842,35.21481862618987,18.254009090129493,16.960809536060374,90989,75.78991952562474,78.36340533672173,92.08809826344769,45.11986446421008,46.968233799237616,23.12579415501906,10.929267259635747,12.196526895383313,1.5569673867005507,0.721728081321474,0.8352393053790766,2.5226598898771706,1.2469292672596357,1.275730622617535,34.859805167301985,17.7721304531978,17.087674714104192
3,Aransas,0.068,0.055999999999999994,0.085,0.0030000000000000027,0.007999999999999993,0.017,44851,49153,23825,0.03389081420748583,0.03463576208830896,0.04774281804549413,0.023381008969927213,0.02436180907556692,0.0007276904009584923,0.0004141795167510787,0.00031351088420741375,0.00260587945955887,0.0012799297566265973,0.0013259497029322726,0.017450188389783294,0.008815695964180945,0.008634492425602347,25234,21.337792642140467,21.941514449875655,29.230769230769234,14.170311294057115,15.060457936712119,0.4545064745733642,0.25726781579624386,0.19723865877712032,1.6996827030271846,0.8506989108995798,0.8489837921276049,11.894348683646342,6.059514621387531,5.834834062258811,23710,20.098263447691657,20.07115628970775,26.371876323591696,12.870817450232952,13.501058873358746,0.409995764506565,0.22871664548919948,0.18127911901736551,0.6912325285895806,0.33714527742482,0.3540872511647607,0.7759423972892843,0.3778060144006777,0.39813638288860653,11.920372723422279,6.283778060144007,5.636594663278272
4,Archer,0.034,0.043,0.053,-0.031,-0.0050000000000000044,-0.015000000000000006,62407,59010,8996,0.013020768557862036,0.012853946252503964,0.023306226557180485,0.011666056388488716,0.011640170168691772,9.491613925545553e-05,5.464868623798955e-05,4.026745301746598e-05,0.00046019946305675413,0.0001955847717991205,0.0002646146912576336,0.002013372650873299,0.0011044787113362099,0.0009088939395370894,9123,7.754051968098791,7.892976588628763,13.890746934225195,6.858759969127862,7.031986965097333,0.05145356315924878,0.02401166280764943,0.027441900351599345,0.2864248349198182,0.10976760140639738,0.1766572335134208,1.4184032244232914,0.761512734756882,0.6568904896664094,9228,7.7018212621770425,7.932232105040238,13.412960609911053,6.515883100381194,6.89707750952986,0.096569250317662,0.05590851334180432,0.04066073697585769,0.042354934349851756,0.015247776365946632,0.027107157983905124,0.44726810673443457,0.17958492164337145,0.26768318509106315,1.6349004659042778,0.9351969504447268,0.699703515459551
5,Armstrong,0.025,0.027999999999999997,0.043,-0.04,-0.020000000000000004,-0.02500000000000001,65000,59652,1940,0.0027180530786789533,0.0028618654108841894,0.005065070340268399,0.0024822008538623675,0.0025828694864060324,3.451495972925656e-05,2.013372650873299e-05,1.4381233220523567e-05,0.00012367860569650267,5.177243959388484e-05,7.190616610261782e-05,0.0003566545838689844,0.00016394605871396863,0.00019270852515501579,1904,1.637938427236086,1.6276477146042363,2.9705857130606295,1.4990138067061143,1.471571906354515,0.01886630649172455,0.012005831403824715,0.006860475087899836,0.0720349884229483,0.030872137895549268,0.04116285052739902,0.20409913386502015,0.09604665123059772,0.10805248263442244,2001,1.6704786107581533,1.7196103346039813,3.074968233799238,1.5112240576027107,1.563744176196527,0.01863617111393477,0.010165184243964422,0.00847098686997035,0.0,0.0,0.0,0.07115628970775095,0.027107157983905124,0.04404913172384583,0.22532825074121132,0.12198221092757305,0.1033460398136383
6,Atascosa,0.042,0.053,0.084,-0.023,0.0049999999999999975,0.016,53181,53064,46956,0.06650169865834507,0.06855533876223582,0.04824903745485656,0.023395390203147737,0.024853647251708827,0.0007794628405523772,0.0004343132432598118,0.00034514959729256556,0.0017257479864628276,0.0008398640200785762,0.0008858839663842517,0.08430278913870914,0.04183213119185895,0.0424706579468502,49086,41.243461109681846,42.94485893148101,29.093559729011233,13.925049309664693,15.16851041934654,0.43220993053768975,0.24183174684846925,0.1903781836892205,1.1062516079238487,0.5368321756281622,0.5694194322956865,53.55629877369008,26.53974787754052,27.01655089614956,50898,43.54934349851758,42.68191444303262,28.625158831003812,14.304108428631936,14.321050402371876,0.44387971198644643,0.24735281660313427,0.19652689538331214,0.2558238034731046,0.11859381617958492,0.1372299872935197,0.9080897924608218,0.44218551461245237,0.46590427784836935,55.998305802626,28.43710292249047,27.56120288013554
7,Austin,0.043,0.053,0.066,-0.022000000000000006,0.0049999999999999975,-0.0020000000000000018,56681,63251,28837,0.04115046073720613,0.04179186373884148,0.05342340516760095,0.026162339474776468,0.027261065692824472,0.007670949799827269,0.003790893076930012,0.0038800567228972575,0.0014726382817816133,0.0006845467012969216,0.0007880915804846914,0.020375331226837785,0.010512681484202724,0.00986264974263506,30565,25.800531686819312,26.62207357859532,31.426121258897176,15.118771974959266,16.307349283937913,4.958408369779607,2.445759368836292,2.5126490009433153,1.2297401595060458,0.5968613326472858,0.63287882685876,14.808335477231799,7.639139010376468,7.169196466855329,32067,26.807285048708174,27.520542143159677,33.18932655654383,16.264294790343076,16.925031766200764,4.909783989834816,2.4413384159254554,2.4684455739093605,0.22871664548919948,0.09318085556967386,0.1355357899195256,1.0199068191444303,0.5302837780601439,0.4896230410842863,14.980093180855569,7.4781872088098265,7.501905972045743
8,Bailey,0.043,0.044000000000000004,0.048,-0.022000000000000006,-0.003999999999999997,-0.020000000000000004,40589,42754,7301,0.010604721376814076,0.010394755371794432,0.007797504652167877,0.0037506256239125454,0.004046879028255331,0.0001955847717991205,0.00011504986576418853,8.053490603493196e-05,0.00021571849830785345,0.00010642112583187437,0.0001092973724759791,0.01279066882633366,0.0066326247613054685,0.006158044065028191,7159,6.255038161392676,6.023497127176057,4.131721121687677,1.9998284881228026,2.1318926335648745,0.10462224509047251,0.06517451333504845,0.03944773175542406,0.1766572335134208,0.0720349884229483,0.10462224509047251,7.8655346882771635,4.118000171511877,3.7475345167652856,7113,6.221092757306226,5.829733163913596,3.7678949597628124,1.8432867429055484,1.924608216857264,0.1033460398136383,0.07454468445573909,0.028801355357899194,0.04066073697585769,0.022024565861922914,0.01863617111393477,0.24735281660313427,0.1355357899195256,0.11181702668360864,7.891571368064379,4.14570097416349,3.7458703939008893
9,Bandera,0.036000000000000004,0.040999999999999995,0.057999999999999996,-0.028999999999999998,-0.007000000000000006,-0.010000000000000009,55434,55189,20738,0.029562063008108243,0.030085539897335294,0.047970041530378406,0.02366863363433768,0.02430140789604072,0.0002617384446135289,0.00014381233220523565,0.00011792611240829324,0.0011735086307947229,0.0005436106157357907,0.0006298980150589321,0.010242314299656885,0.0052060064258295305,0.005036307873827352,21897,18.569590944172884,18.986364805762797,29.57893834148015,14.53906183003173,15.03987651144842,0.14921533316182145,0.07889546351084813,0.07031986965097332,0.7803790412486065,0.3464539919389418,0.4339250493096647,7.047423034045108,3.6051796586913647,3.442243375353743,23129,19.307073274036426,19.878017789072427,30.221092757306227,14.947903430749681,15.273189326556544,0.1880559085133418,0.09148665819567979,0.096569250317662,0.1084286319356205,0.03727234222786954,0.07115628970775095,0.8708174502329521,0.4201609487505294,0.45065650148242264,7.796696315120712,3.810249894112664,3.9864464210080475
